index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),DRUG (CODE),DRUG (DISPLAY),DRUG (URL),RSUDPHARMACOTHERAPYOPTION (CODE),RSUDPHARMACOTHERAPYOPTION (DISPLAY),RSUDPHARMACOTHERAPYOPTION (URL),RSUDMAINTENANCEACCESSRESTRICTIONS (CODE),RSUDMAINTENANCEACCESSRESTRICTIONS (DISPLAY),RSUDMAINTENANCEACCESSRESTRICTIONS (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_420,Guidelines on pharmacological treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2511,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,Yes,,,,,,
2,RSUD_430,Pharmacotherapy with methadone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DETOXIFICATION,Detoxification,,,,,No,,,,,,
3,RSUD_430,Pharmacotherapy with methadone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,MAINTENANCE,Maintenance,,,,,No,,,,,,
4,RSUD_440,Pharmacotherapy with buprenorphine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DETOXIFICATION,Detoxification,,,,,No,,,,,,
5,RSUD_440,Pharmacotherapy with buprenorphine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,MAINTENANCE,Maintenance,,,,,No,,,,,,
6,RSUD_450,Pharmacotherapy with buprenorphine/naloxone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DETOXIFICATION,Detoxification,,,,,No,,,,,,
7,RSUD_450,Pharmacotherapy with buprenorphine/naloxone,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2566,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,MAINTENANCE,Maintenance,,,,,No,,,,,,
8,RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,ACAMPROSATE,Acamprosate,,,,,,,,No,,,,,,
9,RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,DISULFIRAM,Disulfiram,,,,,,,,No,,,,,,
10,RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2551,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,NALTREXONE,Naltrexone,,,,,,,,Yes,,,,,,
